"","Start DateTime","Region","System","Activity","End DateTime Diff","Capacity","Network Traffic","End DateTime"
"1",2016-08-13 13:23:44,"Americas","Email","Update",25764,0.3,"Medium",2016-08-13 20:33:08
"2",2016-06-16 17:16:58,"Americas","Custom Application","Service Down",26836,0.6,"Medium",2016-06-17 00:44:14
"3",2016-10-01 21:44:42,"Americas","Custom Application","Update",26663,0.6,"Medium",2016-10-02 05:09:05
"4",2016-08-30 01:57:11,"Americas","Email","Install",25284,0.3,"Medium",2016-08-30 08:58:35
"5",2016-07-02 10:51:57,"Americas","Email","Service Down",25203,0.4,"Medium",2016-07-02 17:52:00
"6",2016-07-31 01:07:53,"Asia","Network","Service Down",29899,0.5,"Medium",2016-07-31 09:26:12
"7",2016-04-05 08:08:38,"Americas","Server","Update",21639,0.8,"High",2016-04-05 14:09:17
"8",2017-01-17 14:43:41,"Australia","Server","Service Down",23951,0.5,"High",2017-01-17 21:22:52
"9",2016-03-19 02:54:33,"Asia","Network","Update",31175,0.2,"Low",2016-03-19 11:34:08
"10",2016-04-28 13:49:27,"Asia","Custom Application","Install",22885,0.6,"High",2016-04-28 20:10:52
"11",2016-12-31 10:43:28,"Americas","Email","New Release",24288,0.4,"Medium",2016-12-31 17:28:16
"12",2016-08-07 03:54:15,"Americas","Email","Service Down",25087,0.5,"Medium",2016-08-07 10:52:22
"13",2016-06-16 00:13:06,"Europe","Custom Application","Update",25198,0.5,"Medium",2016-06-16 07:13:04
"14",2016-05-21 18:24:36,"Americas","Custom Application","Update",30449,0.6,"Medium",2016-05-22 02:52:05
"15",2016-10-16 12:23:10,"Europe","Custom Application","Update",29530,0.5,"Medium",2016-10-16 20:35:20
"16",2016-06-26 10:48:28,"Americas","Email","Install",27775,0.4,"Medium",2016-06-26 18:31:23
"17",2016-11-27 07:42:17,"Europe","Email","Update",25732,0.4,"Medium",2016-11-27 14:51:09
"18",2016-11-05 15:35:12,"Europe","Custom Application","Service Down",23438,0.6,"High",2016-11-05 22:05:50
"19",2016-03-16 19:06:33,"Americas","Server","Install",27336,0.6,"Medium",2016-03-17 02:42:09
"20",2016-06-08 04:35:15,"Americas","Email","Update",29648,0.6,"Medium",2016-06-08 12:49:23
"21",2017-01-15 04:06:31,"Europe","Custom Application","Service Down",26947,0.6,"Medium",2017-01-15 11:35:38
"22",2016-09-10 06:43:52,"Americas","Email","Service Down",27241,0.4,"Medium",2016-09-10 14:17:53
"23",2016-03-02 09:25:56,"Asia","Custom Application","Update",28702,0.8,"Medium",2016-03-02 17:24:18
"24",2016-05-15 09:19:04,"Americas","Custom Application","Service Down",28404,0.8,"Medium",2016-05-15 17:12:28
"25",2016-04-27 17:57:39,"Asia","Email","Install",28311,0.4,"Medium",2016-04-28 01:49:30
"26",2016-03-06 09:39:45,"Asia","Email","Update",25943,0.4,"Medium",2016-03-06 16:52:08
"27",2016-11-09 09:41:25,"Europe","Custom Application","Update",23861,0.5,"High",2016-11-09 16:19:06
"28",2016-03-29 11:09:51,"Americas","Custom Application","Install",25725,0.5,"Medium",2016-03-29 18:18:36
"29",2016-05-20 13:02:49,"Asia","Network","Install",29524,0.4,"Low",2016-05-20 21:14:53
"30",2016-08-19 21:45:03,"Americas","Custom Application","Update",25607,0.7,"Medium",2016-08-20 04:51:50
"31",2016-03-17 17:46:05,"Asia","Email","Update",28155,0.4,"Medium",2016-03-18 01:35:20
"32",2016-11-06 07:46:37,"Americas","Network","Service Down",29312,0.4,"Medium",2016-11-06 15:55:09
"33",2016-10-31 23:07:05,"Americas","Email","Service Down",26882,0.5,"Medium",2016-11-01 06:35:07
"34",2016-12-19 19:02:59,"Americas","Email","Update",22539,0.4,"High",2016-12-20 01:18:38
"35",2016-11-21 13:33:45,"Europe","Custom Application","Service Down",22897,0.6,"High",2016-11-21 19:55:22
"36",2016-03-18 21:21:58,"Americas","Server","Service Down",26135,0.8,"High",2016-03-19 04:37:33
"37",2017-01-06 13:56:35,"Europe","Email","Service Down",26246,0.3,"Medium",2017-01-06 21:14:01
"38",2016-11-23 09:04:43,"Europe","Server","Update",25179,0.7,"Medium",2016-11-23 16:04:22
"39",2016-06-16 17:15:08,"Americas","Custom Application","Update",26107,0.5,"Medium",2016-06-17 00:30:15
"40",2016-08-12 07:30:19,"Europe","Data Center","Service Down",21608,0.8,"High",2016-08-12 13:30:27
"41",2016-07-01 18:08:27,"Americas","Custom Application","Update",25753,0.5,"Medium",2016-07-02 01:17:40
"42",2016-06-16 12:34:25,"Americas","Custom Application","Service Down",27573,0.6,"Medium",2016-06-16 20:13:58
"43",2016-03-08 18:30:41,"Asia","Email","Install",26358,0.5,"Medium",2016-03-09 01:49:59
"44",2016-05-12 18:00:54,"Americas","Email","Install",26092,0.4,"Medium",2016-05-13 01:15:46
"45",2016-07-03 15:30:11,"Europe","Custom Application","Install",26006,0.4,"Medium",2016-07-03 22:43:37
"46",2016-12-06 12:23:01,"Europe","Custom Application","Update",24169,0.6,"Medium",2016-12-06 19:05:50
"47",2016-03-08 07:59:44,"Asia","Custom Application","Update",29929,0.8,"Medium",2016-03-08 16:18:33
"48",2016-12-06 14:56:14,"Europe","Custom Application","Service Down",24306,0.5,"Medium",2016-12-06 21:41:20
"49",2016-02-23 21:32:09,"Asia","Email","Install",27430,0.5,"Medium",2016-02-24 05:09:19
"50",2016-06-01 01:38:35,"Americas","Custom Application","Update",24330,0.6,"Medium",2016-06-01 08:24:05
"51",2016-11-21 10:59:33,"Americas","Email","New Release",28299,0.5,"Medium",2016-11-21 18:51:12
"52",2016-09-06 02:04:50,"Americas","Email","Update",25579,0.3,"Medium",2016-09-06 09:11:09
"53",2016-04-10 22:09:27,"Americas","Email","Install",26969,0.3,"Medium",2016-04-11 05:38:56
"54",2016-05-02 20:27:08,"Americas","Email","Install",28164,0.3,"Medium",2016-05-03 04:16:32
"55",2016-12-08 04:43:21,"Europe","Custom Application","Service Down",27844,0.6,"Medium",2016-12-08 12:27:25
"56",2016-05-05 15:02:30,"Asia","Email","Install",23837,0.3,"Medium",2016-05-05 21:39:47
"57",2016-05-14 08:32:44,"Americas","Custom Application","Update",25704,0.6,"Medium",2016-05-14 15:41:08
