time,movement_type,id,seconds,minutes,order
1/18/2008 10:46,Rock,URI1,0,0,1
1/18/2008 10:46,Rock,URI1,3.062000036,1,2
1/18/2008 10:46,Flap,URI1,4.07799983,1,3
1/18/2008 10:46,Flap,URI1,6.631999969,1,4
1/18/2008 10:46,Flap-Rock,URI1,21.6559999,1,5
1/18/2008 10:46,Flap-Rock,URI1,30.84299994,1,6
1/18/2008 10:48,Rock,URI1,151.5469999,3,7
1/18/2008 10:48,Rock,URI1,155.75,3,8
1/18/2008 10:49,Flap-Rock,URI1,156.7649999,3,9
1/18/2008 10:49,Flap-Rock,URI1,164.1719999,3,10
1/18/2008 10:49,Flap-Rock,URI1,186.7649999,4,11
1/18/2008 10:49,Flap-Rock,URI1,190.9219999,4,12
1/18/2008 10:49,Rock,URI1,207.625,4,13
1/18/2008 10:49,Rock,URI1,213.7809999,4,14
1/18/2008 10:50,Flap,URI1,233.7029998,4,15
1/18/2008 10:50,Flap,URI1,235.7809999,4,16
1/18/2008 10:50,Flap-Rock,URI1,236.7969999,4,17
1/18/2008 10:50,Flap-Rock,URI1,240.9529998,5,18
1/18/2008 10:50,Rock,URI1,243.984,5,19
1/18/2008 10:50,Rock,URI1,248.0779998,5,20
1/18/2008 10:51,Flap-Rock,URI1,329.75,6,21
1/18/2008 10:51,Flap-Rock,URI1,335.8429999,6,22
1/18/2008 10:53,Flap-Rock,URI1,443.7029998,8,23
1/18/2008 10:53,Flap-Rock,URI1,446.7649999,8,24
1/18/2008 10:54,Flap-Rock,URI1,511.6719999,9,25
1/18/2008 10:55,Flap-Rock,URI1,558.0779998,10,26
1/18/2008 10:56,Rock,URI1,610.437,11,27
1/18/2008 10:56,Rock,URI1,613.5309999,11,28
1/18/2008 10:56,Flap-Rock,URI1,617.6399999,11,29
1/18/2008 10:56,Flap-Rock,URI1,622.7179999,11,30
1/18/2008 10:57,Flap-Rock,URI1,657.9059999,11,31
1/18/2008 10:58,Flap-Rock,URI1,698.625,12,32
1/18/2008 10:58,Rock,URI1,705.859,12,33
1/18/2008 10:58,Rock,URI1,708.9529998,12,34
1/18/2008 10:58,Rock,URI1,718.5779998,12,35
1/18/2008 10:58,Rock,URI1,732.7919998,13,36
1/18/2008 10:58,Rock,URI1,739.4219999,13,37
1/18/2008 10:59,Rock,URI1,758.0309999,13,38
1/18/2008 10:59,Flap-Rock,URI1,763.632,13,39
1/18/2008 10:59,Flap-Rock,URI1,767.3429999,13,40
1/18/2008 10:59,Rock,URI1,768.359,13,41
1/18/2008 10:59,Rock,URI1,772.484,13,42
1/18/2008 11:00,Flap-Rock,URI1,840.0779998,15,43
1/18/2008 11:00,Flap-Rock,URI1,844.322,15,44
1/18/2008 11:00,Flap-Rock,URI1,846.2809999,15,45
1/18/2008 11:00,Flap-Rock,URI1,851.4059999,15,46
1/18/2008 11:00,Rock,URI1,866.812,15,47
1/18/2008 11:00,Rock,URI1,869.859,15,48
1/18/2008 11:01,Rock,URI1,895.7809999,15,49
1/18/2008 11:01,Rock,URI1,904.109,16,50
1/18/2008 11:01,Rock,URI1,920.5779998,16,51
1/18/2008 11:01,Rock,URI1,927.734,16,52
1/18/2008 11:02,Rock,URI1,949.322,16,53
1/18/2008 11:02,Rock,URI1,955.3429999,16,54
1/18/2008 11:02,Rock,URI1,982.9679999,17,55
1/18/2008 11:02,Rock,URI1,985.0149999,17,56
1/18/2008 11:02,Rock,URI1,987.0779998,17,57
1/18/2008 11:03,Rock,URI1,996.437,17,58
1/18/2008 11:03,Flap-Rock,URI1,996.437,17,59
1/18/2008 11:03,Flap-Rock,URI1,1001.656,17,60
1/18/2008 10:15,Flap,URI2,0,0,1
1/18/2008 10:15,Flap,URI2,3.046000004,1,2
1/18/2008 10:16,Flap,URI2,6.358999968,1,3
1/18/2008 10:16,Flap,URI2,8.453000069,1,4
1/18/2008 10:16,Flap,URI2,9.562000036,1,5
1/18/2008 10:16,Flap,URI2,11.68700004,1,6
1/18/2008 10:16,Flap,URI2,12.71799994,1,7
1/18/2008 10:16,Flap,URI2,25.2650001,1,8
1/18/2008 10:16,Flap,URI2,30.375,1,9
1/18/2008 10:16,Flap,URI2,35.671,1,10
1/18/2008 10:16,Flap,URI2,37.52999997,1,11
1/18/2008 10:16,Flap,URI2,40.125,1,12
1/18/2008 10:17,Flap,URI2,71.45300007,2,13
1/18/2008 10:17,Flap,URI2,73.546,2,14
1/18/2008 10:19,Flap,URI2,234.6400001,4,15
