Skill 1,Skill 2,Correlation
agile-project-management,estimation,1.000000
agile-project-management,extreme-programming,1.000000
agile-project-management,greenhopper,1.000000
agile-project-management,sprint,1.000000
alfresco,workflow-activity,1.000000
alfresco,workflow-foundation-4,1.000000
consumer_insights,experience_software_development_lifecycle,1.000000
cryptography,xss,1.000000
estimation,extreme-programming,1.000000
estimation,greenhopper,1.000000
estimation,sprint,1.000000
extreme-programming,sprint,1.000000
libvirt,qemu,1.000000
libvirt,virtualbox,1.000000
pig,piglatin,1.000000
qemu,virtualbox,1.000000
responsive-design,sencha-touch,1.000000
sprint,tdd,1.000000
sugarcrm,vtiger,1.000000
sugarcrm,workflow,1.000000
vtiger,workflow,1.000000
workflow-activity,workflow-foundation,1.000000
workflow-activity,workflow-foundation-4,1.000000
workflow-foundation,workflow-foundation-4,1.000000
agile-project-management,tdd,1.000000
alfresco,workflow-foundation,1.000000
estimation,tdd,1.000000
extreme-programming,greenhopper,1.000000
extreme-programming,tdd,1.000000
greenhopper,sprint,1.000000
greenhopper,tdd,1.000000
flurry,statistics,0.999997
google-analytics,statistics,0.999997
flurry,google-analytics,0.999993
erp,ofbiz,0.999939
cryptography,web-security,0.999904
web-security,xss,0.999904
erp,openerp,0.999882
kvm,virtual-machine,0.999845
ofbiz,openerp,0.999750
cassandra,nosql,0.999673
azure,cloud-hosting,0.999520
application_modernization,modernization,0.999473
libvirt,linux-kernel,0.999175
linux-kernel,qemu,0.999175
linux-kernel,virtualbox,0.999175
mercurial,workflow-foundation-4,0.999118
alfresco,mercurial,0.999118
mercurial,workflow-activity,0.999118
mercurial,workflow-foundation,0.999118
virtual-machine,xen,0.999059
hbase,nosql,0.999002
continuous-integration,devops,0.998915
kvm,libvirt,0.998849
kvm,qemu,0.998849
kvm,virtualbox,0.998849
cassandra,hbase,0.998708
hdfs,mapreduce,0.998472
cryptography,encryption,0.998333
encryption,xss,0.998333
magento,ofbiz,0.998295
encryption,web-security,0.998211
kvm,xen,0.998155
hbase,r,0.998150
erp,magento,0.998150
google-analytics,reporting-services,0.998071
reporting-services,statistics,0.997997
kvm,linux-kernel,0.997960
flurry,reporting-services,0.997959
magento,openerp,0.997874
libvirt,virtual-machine,0.997859
qemu,virtual-machine,0.997859
virtual-machine,virtualbox,0.997859
air,cordova,0.997269
linux-kernel,virtual-machine,0.997046
flex,windows-mobile,0.996171
libvirt,osx,0.996171
osx,qemu,0.996171
