skill,Cloud Computing,Accelerated Project Results,Analytics and business intelligence,Application Modernization,Big Data,Collaboration technologies workflow,CRM,DevOps,ERP Applications,IT department leadership in innovation.using new technology,Mobile technologies,Security,Virtualization,Web 2.0,Augmented Reality,Wearable Computing,3D Printing,Personal Cloud,Digital Banking,Smart Cities,Telematics,Internet of Things,Desktop Applications Specialist,Leadership,Technical Analyst,Desktop Security Specialist,Network Engineer,Project Management,Database Specialist,Legacy Programmer,Systems Engineer,Web Developer
.htaccess,0,0,0,0,0,0,0,0,0,0,0.032903664,0.047887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.net,0.236781609,0.034482759,0.061281337,0.206896552,0.024291498,0.24847561,0.026845638,0.018181818,0.127272727,0.008264463,0.042401628,0.324711908,0.161290323,0.14893617,0.005128205,0,0,0.133333333,0.014084507,0,0.079365079,0,0.017647059,0.027722772,0.04375,0.109090909,0,0.008144797,0.168888889,0.021388368,0.008163265,0.170093458
3des,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3dsmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_assume_sole_independent,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_communicate_effectively,0.004597701,0.002873563,0.002785515,0,0,0,0,0,0,0.016528926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_influence,0.009195402,0,0.002785515,0,0,0,0,0,0,0.033057851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_lead,0.004597701,0.002873563,0,0.017241379,0.004048583,0.00152439,0,0,0,0.016528926,0,0,0,0,0.005128205,0,0.142857143,0,0,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0
ability_learn,0.002298851,0,0,0.034482759,0,0,0,0,0,0.008264463,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_manage,0.013793103,0.005747126,0,0.034482759,0,0.00152439,0,0,0.018181818,0.049586777,0.000339213,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_understand_client_perspectives,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_work_collaboratively,0.006896552,0,0,0,0,0,0,0,0.018181818,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_work_fast,0,0,0.005571031,0,0,0,0.001917546,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ability_work_independently,0.006896552,0.005747126,0.005571031,0.017241379,0.004048583,0.00304878,0.001917546,0.018181818,0.054545455,0.024793388,0,0,0,0,0,0.043478261,0.142857143,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0
accelerometer,0,0,0,0,0,0,0,0,0,0,0.004409769,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access,0.006896552,0,0.005571031,0.034482759,0,0,0.002876318,0.018181818,0.090909091,0.024793388,0,0.00128041,0.01843318,0.021276596,0,0,0.142857143,0.066666667,0,0.047619048,0.015873016,0,0.119377163,0.066831683,0.3515625,0.272727273,0.040816327,0.029411765,0.122222222,0.003126857,0.020408163,0.058411215
access-control,0,0,0,0,0,0,0,0,0,0,0,0.010755442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access-token,0,0,0,0,0,0,0,0,0,0,0,0.006914213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accesscontrolexception,0,0,0,0,0,0,0,0,0,0,0,0.008706786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accomplished_professionals,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
achieve_radical_measurable_performance,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
achieving,0.004597701,0,0,0.017241379,0,0.00304878,0.000958773,0,0,0.016528926,0,0,0.004608295,0.042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acl,0,0,0,0,0,0,0,0,0,0,0,0.025608195,0,0,0,0,0,0,0,0,0,0,0.003460208,0.002475248,0,0.318181819,0.56122449,0.002262444,0,0.002188868,0.010204082,0.002336449
actionscript,0,0,0,0,0,0.009146341,0,0,0,0,0.069199457,0.033546735,0,0,0.058974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active,0,0,0,0.086206897,0,0.00152439,0,0,0,0,0.000678426,0.001024328,0.013824885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active-directory,0,0,0,0,0,0,0,0,0,0,0,0.034314981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activerecord,0,0,0,0,0,0,0,0,0,0,0,0.002560819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activex,0,0,0,0,0,0,0,0,0,0,0,0.004865557,0,0,0,0,0,0,0,0,0,0,0.010380623,0.01980198,0.03125,0.181818182,0,0,0.088888889,0.001876173,0,0.065420561
acumen,0.009195402,0,0,0.017241379,0,0,0.000958773,0,0.018181818,0.033057851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adapt,0.004597701,0,0,0.017241379,0,0,0,0,0,0.016528926,0,0.000256082,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adb,0,0,0,0,0,0,0,0,0,0,0.001696065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adfs,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0.01384083,0.004950495,0,0.181818182,0.040816327,0,0,0.006253909,0.020408163,0
admob,0,0,0,0,0,0,0,0,0,0,0.003731343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ado.net,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,0.017301038,0.024752475,0,0.090909091,0,0,0.155555556,0.018136335,0,0.172897196
adobe-analytics,0,0,0.04735376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advanced_analytics,0,0,0.019498607,0,0.020242915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advanced_degree,0.011494253,0,0,0,0,0,0,0,0,0.041322314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advertising,0,0,0.013927577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003460208,0.014851485,0,0,0,0.004524887,0,0.000937891,0,0
advocate,0.004597701,0,0.002785515,0,0,0,0,0,0,0.016528926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adwords,0,0,0.022284123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aes,0,0,0,0,0,0,0,0,0,0,0,0.028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agile,0.013793103,0.186781609,0.008356546,0.103448276,0.012145749,0,0,0.145454545,0,0.049586777,0.001017639,0,0,0.106382979,0.002564103,0.086956522,0,0,0.225352113,0,0.015873016,0.217391304,0,0,0,0,0,0,0,0,0,0
agile-processes,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agile-project-management,0,0.227011494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agile_development,0,0.002873563,0.002785515,0.017241379,0,0,0,0.145454545,0,0,0,0,0,0.085106383,0,0,0,0,0.084507042,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0
agile_methodologies,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0
agile_product_development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
agile_scrum,0,0.022988506,0,0.051724138,0.004048583,0,0,0,0,0,0.000339213,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,0,0,0,0,0.084464043,0,0,0,0.017948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air-native-extension,0,0,0,0,0,0,0,0,0,0,0.00339213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajax,0,0,0.025069638,0.086206897,0,0,0,0,0,0,0.057666214,0.098591549,0,0.468085106,0,0,0,0,0,0,0,0,0.005190311,0.00990099,0,0.181818182,0,0.004524887,0.066666667,0.005003127,0,0.228971963
alfresco,0,0,0,0,0,0.071646341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alfresco-share,0,0,0,0,0,0.007621951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithm,0.020689655,0,0.030640669,0,0.129554656,0.009146341,0,0,0,0,0.003052917,0.020230474,0,0,0.033333333,0,0,0.066666667,0,0,0.015873016,0.043478261,0.001730104,0.01980198,0.15625,0.090909091,0,0,0.088888889,0.001250782,0,0.018691589
analysis_design,0.006896552,0,0,0.068965517,0.020242915,0,0,0,0.036363636,0.024793388,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_design_execution,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_experience,0.002298851,0,0,0.034482759,0,0,0,0,0.018181818,0.008264463,0.000339213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analysis_prioritization,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analytical_problem_solving_skills,0.011494253,0,0,0.017241379,0,0,0,0,0.018181818,0.041322314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analytical_quantitative_skills,0.006896552,0,0.002785515,0,0,0,0.000958773,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analytical_skills,0.006896552,0.002873563,0.002785515,0.051724138,0.016194332,0,0.000958773,0.036363636,0.018181818,0.024793388,0.000339213,0,0,0.021276596,0.002564103,0,0,0,0.014084507,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0
