Column 0,Date,Hospital,Asthma Related Admissions,OZONE,PM10,PM2.5
1,2/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,34,13,54
2,2/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,26,6,41
3,2/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,19,16,62
4,2/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,35,15,52
5,2/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,29,26,9,45
6,2/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,35,10,31
7,2/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,28,13,43
8,2/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,35,13,59
9,2/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,29,33,8,52
10,2/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,32,6,30
11,2/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,33,5,55
12,2/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,30,5,33
13,2/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,31,NA,42
14,2/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,35,3,32
15,2/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,35,6,51
16,2/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,31,37,14,59
17,2/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,33,15,50
18,3/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,40,12,41
19,3/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,34,10,54
20,3/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,8,33,6,34
21,3/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,32,13,43
22,3/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,35,8,36
23,3/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,13,38,10,47
24,3/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,31,29,65
25,3/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,11,35,38,76
26,3/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,31,51,82
27,3/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,44,28,68
28,3/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,31,7,20
29,3/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,26,9,26
30,3/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,39,12,35
31,3/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,35,10,23
32,3/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,33,6,42
33,3/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,29,21,44
34,3/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,25,39,12,29
35,3/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,37,6,38
36,3/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,20,37,3,23
37,3/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,40,7,23
38,3/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,18,40,8,27
39,3/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,42,13,31
40,3/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,10,58,20,55
41,3/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,42,19,53
42,3/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,42,25,55
43,3/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,35,6,21
